"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"MD",2002,2,146.83,145.12
"MD",2002,3,152.82,150.44
"MD",2002,4,157.35,156.65
"MD",2003,1,159.04,159.25
"MD",2003,2,167.98,165.98
"MD",2003,3,175.21,172.32
"MD",2003,4,179.69,179.11
"MD",2004,1,186.63,186.81
"MD",2004,2,197.13,194.7
"MD",2004,3,208.61,205.19
"MD",2004,4,214.74,214.21
"MD",2005,1,224.37,224.43
"MD",2005,2,239.06,236.07
"MD",2005,3,249.92,245.9
"MD",2005,4,253.9,253.44
"MD",2006,1,259.97,259.79
"MD",2006,2,267.24,263.9
"MD",2006,3,266.4,262.22
"MD",2006,4,265.92,265.53
"MD",2007,1,268.75,268.33
"MD",2007,2,271.16,267.84
"MD",2007,3,269.63,265.47
"MD",2007,4,263.2,262.9
"MD",2008,1,253.98,253.35
"MD",2008,2,248.6,245.67
"MD",2008,3,243.51,239.78
"MD",2008,4,230,229.74
"MD",2009,1,228.55,227.88
"ME",2000,1,122.7,123.89
"ME",2000,2,128.95,129.1
"ME",2000,3,132.13,132.03
"ME",2000,4,134.26,134.97
"ME",2001,1,137.63,139.01
"ME",2001,2,142.38,142.57
"ME",2001,3,147.39,147.08
"ME",2001,4,149.18,150.15
"ME",2002,1,153.48,155
"ME",2002,2,159.78,159.98
"ME",2002,3,164.96,164.5
"ME",2002,4,167.36,168.59
"ME",2003,1,171.8,173.49
"ME",2003,2,176.46,176.6
"ME",2003,3,179.67,179.25
"ME",2003,4,188.54,189.89
"ME",2004,1,186.43,188.23
"ME",2004,2,197.84,197.97
"ME",2004,3,203.7,203.44
"ME",2004,4,206.95,208.24
"ME",2005,1,210.53,212.5
"ME",2005,2,217.63,217.85
"ME",2005,3,222.22,222.09
"ME",2005,4,222.73,224.03
"ME",2006,1,222.78,224.58
"ME",2006,2,224.86,225.43
"ME",2006,3,223.64,223.44
